LON,LAT,NUMBER,STREET,STR_NAME,STR_TYPE,STR_DIR,address,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-115.7703281,49.4961927,805,13TH Street S,13TH,Street,S,805 13TH Street S,,CRANBROOK,,,,,643a04af5eb524e8
-115.7666299,49.4977689,1013,11TH Street S,11TH,Street,S,1013 11TH Street S,,CRANBROOK,,,,,6bcabb3fadc338b7
-115.7669854,49.4977665,1009,11TH Street S,11TH,Street,S,1009 11TH Street S,,CRANBROOK,,,,,5fdea6989441c9f5
-115.7671918,49.4977649,1005,11TH Street S,11TH,Street,S,1005 11TH Street S,,CRANBROOK,,,,,10629f981dbfb63f
-115.7674003,49.4977633,1001,11TH Street S,11TH,Street,S,1001 11TH Street S,,CRANBROOK,,,,,bc907aed4953363d
-115.7678839,49.4977609,917,11TH Street S,11TH,Street,S,917 11TH Street S,,CRANBROOK,,,,,3bc1ae83536f20e4
-115.7681301,49.4977591,913,11TH Street S,11TH,Street,S,913 11TH Street S,,CRANBROOK,,,,,47777eeff878bbfe
-115.7683701,49.4977574,909,11TH Street S,11TH,Street,S,909 11TH Street S,,CRANBROOK,,,,,f2d0fe468a68299d
-115.76861,49.4977556,905,11TH Street S,11TH,Street,S,905 11TH Street S,,CRANBROOK,,,,,60be9103b0c9ef64
-115.7688499,49.4977539,901,11TH Street S,11TH,Street,S,901 11TH Street S,,CRANBROOK,,,,,9a3a3e6c588c409d
-115.7691005,49.4977521,825,11TH Street S,11TH,Street,S,825 11TH Street S,,CRANBROOK,,,,,f7ef85a80c4f0ec5
-115.7693362,49.4977504,821,11TH Street S,11TH,Street,S,821 11TH Street S,,CRANBROOK,,,,,31e518379def2622
-115.7695466,49.4977489,817,11TH Street S,11TH,Street,S,817 11TH Street S,,CRANBROOK,,,,,e4b972026004f8f1
-115.7697571,49.4977474,813,11TH Street S,11TH,Street,S,813 11TH Street S,,CRANBROOK,,,,,235dbb68712691b4
-115.7699676,49.4977459,809,11TH Street S,11TH,Street,S,809 11TH Street S,,CRANBROOK,,,,,6384016543786dcb
-115.7701991,49.4977442,805,11TH Street S,11TH,Street,S,805 11TH Street S,,CRANBROOK,,,,,18b2a8fb9a2e80fd
-115.770437,49.4977425,801,11TH Street S,11TH,Street,S,801 11TH Street S,,CRANBROOK,,,,,11d1372187e18c80
-115.7709126,49.497805,1101,8TH Ave S,8TH,Ave,S,1101 8TH Ave S,,CRANBROOK,,,,,e1af6650ac189c35
-115.7711369,49.4977369,707,11TH Street S,11TH,Street,S,707 11TH Street S,,CRANBROOK,,,,,dfac0ffa79d5de56
-115.7713605,49.4977354,705,11TH Street S,11TH,Street,S,705 11TH Street S,,CRANBROOK,,,,,eeee55c944517d35
-115.7715841,49.497734,701,11TH Street S,11TH,Street,S,701 11TH Street S,,CRANBROOK,,,,,a8749839f42d65ea
-115.7709141,49.497668,1105,8TH Ave S,8TH,Ave,S,1105 8TH Ave S,,CRANBROOK,,,,,b236408024f5541c
-115.7665117,49.4974438,1016,12TH Street S,12TH,Street,S,1016 12TH Street S,,CRANBROOK,,,,,b8a1742a46a86baa
-115.7667607,49.4974398,1012,12TH Street S,12TH,Street,S,1012 12TH Street S,,CRANBROOK,,,,,f0d14a920afdb47d
-115.7670013,49.4974375,1008,12TH Street S,12TH,Street,S,1008 12TH Street S,,CRANBROOK,,,,,f272a850233fcba2
-115.7672328,49.4974357,1004,12TH Street S,12TH,Street,S,1004 12TH Street S,,CRANBROOK,,,,,5556c440d76112fe
-115.7674709,49.497423,1000,12TH Street S,12TH,Street,S,1000 12TH Street S,,CRANBROOK,,,,,69a6f4e38c005a63
-115.7679768,49.4974411,916,12TH Street S,12TH,Street,S,916 12TH Street S,,CRANBROOK,,,,,a758ab9702a5ff52
-115.7682275,49.497437,912,12TH Street S,12TH,Street,S,912 12TH Street S,,CRANBROOK,,,,,50047ff16530971b
-115.768551,49.4974392,908,12TH Street S,12TH,Street,S,908 12TH Street S,,CRANBROOK,,,,,bcd9f1e3dc3465bc
-115.769266,49.497408,820,12TH Street S,12TH,Street,S,820 12TH Street S,,CRANBROOK,,,,,ef8372f7473b7f15
-115.769583,49.4974318,816,12TH Street S,12TH,Street,S,816 12TH Street S,,CRANBROOK,,,,,fe95db205c3dcaac
-115.7698143,49.497418,812,12TH Street S,12TH,Street,S,812 12TH Street S,,CRANBROOK,,,,,eff50b3f7459036c
-115.7700248,49.4974165,808,12TH Street S,12TH,Street,S,808 12TH Street S,,CRANBROOK,,,,,7af3f21e85866ca3
-115.7687517,49.497302,1201,10TH Ave S,10TH,Ave,S,1201 10TH Ave S,,CRANBROOK,,,,,4c6deee6e7424337
-115.7702352,49.4974149,804,12TH Street S,12TH,Street,S,804 12TH Street S,,CRANBROOK,,,,,979b5beee273a7c5
-115.7704458,49.4974134,800,12TH Street S,12TH,Street,S,800 12TH Street S,,CRANBROOK,,,,,a8181e3d3f3eee9d
-115.7710015,49.4974601,1109,8TH Ave S,8TH,Ave,S,1109 8TH Ave S,,CRANBROOK,,,,,48a9b30334558824
-115.7714982,49.4974595,1108,7TH Ave S,7TH,Ave,S,1108 7TH Ave S,,CRANBROOK,,,,,5cdac80df6b96b5b
